campaign_id,created_at,num_cus_stage_1,num_cus_stage_2,num_cus_stage_3,num_cus_stage_4,num_cus_stage_5,conversion_rate_stage_1,conversion_rate_stage_2,conversion_rate_stage_3,conversion_rate_stage_4,conversion_rate_stage_5
CAMP001,2025-11-17 17:33:29.000000,5741,3789,2169,892,310,1.0,0.6599895488590838,0.5724465558194775,0.41124942369755646,0.3475336322869955
CAMP001,2025-12-07 17:33:29.000000,9280,5837,3053,1254,495,1.0,0.6289870689655173,0.5230426589001199,0.41074353095316085,0.39473684210526316
CAMP001,2025-12-12 17:33:29.000000,9055,7167,4036,2310,898,1.0,0.7914964108227499,0.5631365982977536,0.5723488602576808,0.3887445887445887
CAMP002,2025-11-20 17:33:29.000000,7764,5681,3083,1827,785,1.0,0.7317104585265327,0.5426861468051399,0.5926046059033409,0.42966611932129173
CAMP002,2025-11-30 17:33:29.000000,5694,3601,2025,1123,398,1.0,0.632420091324201,0.5623437933907248,0.5545679012345679,0.3544078361531612
CAMP002,2025-12-08 17:33:29.000000,7968,5563,2868,1153,360,1.0,0.6981676706827309,0.5155491641200791,0.40202231520223153,0.31222896790980054
CAMP003,2025-11-19 17:33:29.000000,6209,4095,2749,1152,428,1.0,0.6595264937993236,0.6713064713064713,0.4190614769006912,0.3715277777777778
CAMP003,2025-11-20 17:33:29.000000,7728,5439,3259,1332,437,1.0,0.7038043478260869,0.5991910277624564,0.4087143295489414,0.3280780780780781
CAMP003,2025-12-11 17:33:29.000000,5749,3983,2441,1348,528,1.0,0.6928161419377283,0.6128546321867939,0.5522326915198689,0.3916913946587537
CAMP004,2025-12-11 17:33:29.000000,6289,4749,3211,1336,539,1.0,0.7551280012720624,0.6761423457570015,0.41606976019931485,0.40344311377245506
CAMP004,2025-11-29 17:33:29.000000,6824,4104,2298,1103,393,1.0,0.6014067995310668,0.5599415204678363,0.47998259355961703,0.3563009972801451
CAMP004,2025-11-12 17:33:29.000000,6554,4693,2515,1432,638,1.0,0.7160512664021972,0.5359045386746217,0.5693836978131213,0.44553072625698326
CAMP005,2025-12-04 17:33:29.000000,6918,4513,2742,1387,636,1.0,0.6523561723041341,0.6075781076888987,0.5058351568198395,0.4585436193222783
CAMP005,2025-12-10 17:33:29.000000,6989,5059,3498,1911,686,1.0,0.7238517670625269,0.6914409962443171,0.5463121783876501,0.358974358974359
CAMP005,2025-11-26 17:33:29.000000,9595,7423,5130,2881,1358,1.0,0.7736321000521105,0.6910952445103058,0.561598440545809,0.47136410968413744
